Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
03/29/2015,Prepaid card,General purpose card,Unauthorized transactions/trans. issues,,"i loaded my card and i made an online purchase in XXXX, in XXXX of this year i loaded more funds on the card and made a few purchases, then when i checked my card it said i had XXXX dollar left avaliable to me, upon calling them i was told that i had a pending transaction for XXXX dollars back in XXXX, and that when i used my card and loaded it they took the XXXX dollars, i do not understand how it is that u get a prepaid card so i can not spend what i do not have avaliable to me. i have spoken to them and i was told that it was a glitz on there end, but then i am not responsible for there mistakes, i would like my eighty dollars back, furthermore i am thinking my card had money on it because i loaded 150 dollars on it and i only made XXXX transactions after loading the card with XXXX dollars, XXXX transactions in the amount of four dollars and twenty five cents, and XXXX for forty-one dollars and another for seventeen dollars then when i go out for dinner thinking i have enough fund to pay for my meal i find out i have no funds avaliable to me, as i understand it a prepaid card can not allow things to go through if u do not have the avaliable funds to pay for it, how can the card company allow a transaction to go through when u do not have the funds on the card, the purpose of having a prepaid card is so u do not over spend.",,Amex,FL,330XX,,Consent provided,Web,04/02/2015,Closed with explanation,Yes,No,1306257
03/25/2015,Prepaid card,ID prepaid card,Fraud or scam,,"I tried to get a refund on {$4500.00} worth of cards. I called reloadit and they said that if I would send them a copy of the receipts I would receive my money in 20 days. This was on the XXXX of XXXX. Then they asked for a copy of the reloadit cards with the numbers on them and they said it was approved.=, but they wanted me to send them a copy of my drivers license and my utility bill. Than they said they sent the check out on XXXX XXXX. I still have n't received nothing so far and i told them if I did n't received my check by the XXXX XXXX I was going to call the FBI and the FBI said that I should contact you. I 
",,Blackhawk Network Holdings Inc.,CA,956XX,Older American,Consent provided,Web,03/25/2015,Closed with monetary relief,Yes,No,1301241
04/05/2015,Prepaid card,General purpose card,"Managing, opening, or closing account",,"My paypal account was permanently limited by Paypal on XXXX. I have contacted Paypal several times, but customer service department could n't explain to me why it was limited since it was done by another department. I have over {$3000.00} in the account and could n't be transferred to my bank account due to limitation. Paypal said that it will be held for 180 days. I dont think that it is legal to hold the money for that long time without proper explanation. 
",Company believes it acted appropriately as authorized by contract or law,"PayPal Holdings, Inc.",TX,770XX,,Consent provided,Web,04/08/2015,Closed with non-monetary relief,Yes,No,1316111
04/06/2015,Prepaid card,Mobile wallet,"Managing, opening, or closing account",,"XXXX has frozen my safe with {$100.00} in it and is not allowing me to access my funds. I have been trying for 2 months to access my funds, but the account has been frozen. I have been trying to contact customer service, but have been unable to reach them. They are holding my {$100.00}, and I want to either load my card or have them mail it to me. 
My username on their site to access my safe is XXXXXXXXXXXX 'm attaching a picuture of what happens when I try to log in. There is {$100.00} in the safe that is mine and they are holding. 
",,Blackhawk Network Holdings Inc.,TN,374XX,,Consent provided,Web,04/09/2015,Closed with explanation,Yes,No,1316742
03/23/2015,Prepaid card,Transit card,Fraud or scam,,"XXXX/XXXX/15 I was a victim of a IRS scam, some XXXX called me and I fall for it and purchased the prepaid cards XXXX it and them the numbers of the XXXX prepaid cards, an around two hours later I realized it was a scam so I called the number in the back of the cards, a CSR inform me the the money was on the cards and she ( XXXX ) was putting a stop on the cards. I was happy as thinking did n't loose my money and everything was fine just like she said, also she give me a ITS number of the claim and explain the it will take XXXX to XXXX business day to send me a check, I explain the situation and ask her if she was sure the sto payment was done because this was a time sensitive situation and she said yes. Week latter I called the company to seek the status of my claim and the inform me they only put a stop on XXXX cards and the XXXX of them were redeem, they only can return the money on those cards and the rest was lost because the cards area like cash, I did understand that but when I called them the money was there and they supposedly put a stop, if they would it told that the stop would take time, I could redeem the cards my self and get my money back but the make me believe that my money was save and I believe them because after searched their name it seem like a legitimate company. The are regulated by the federal government, and license from XXXX XXXX XXXX XXXX XXXX XXXX FDIC. I feel the this company is as guilty as the people how called me, or more because they deliberated did n't inform me of the time a stop would take, on the other hand the make me believe the money was save and everything was fine that I should just wait for my money to come in the mail. 
",,Blackhawk Network Holdings Inc.,PA,189XX,,Consent provided,Web,03/30/2015,Closed with monetary relief,Yes,Yes,1295778
04/13/2015,Prepaid card,General purpose card,Fees,,"I opened an account for a prepaid Visa card with First Progress in XX/XX/XXXX to help build up my credit score and everything was fine made all my payments on time and never had any issues until I decided to close this account out in XX/XX/XXXX for I was no longer using this account in I received my statement for the months of XX/XX/XXXX thru XX/XX/XXXX which showed they had charged me the annual fee of {$39.00} when I called in to close the account in XX/XX/XXXX the representative for First Progress informed me that as long as there were no charges made to my account that I would receive the refund of the {$39.00} annual fee along with the balance of my prepaid Visa Card which totaled {$150.00} but there would be a 60 day waiting period to make sure that there were no charges made to my account finally I received my refund in XX/XX/XXXX but it was on for the amount of {$150.00} and did not include the refund for the annual fee of {$39.00} in which the representative for First Progress indicated I was entitled to receive so I contacted customer service with First Progress and was told I would have to write a letter to the First Progress Correspondence department to request my refund which I did on XX/XX/XXXX, I received a response dated XX/XX/XXXX indicating that I would have to contact customer service to resolve this issue so I contacted customer service and they said that I would have to contact the Progress Correspondence department what they are doing is giving me the run around and violating their own policies for which I have been told XXXX different times by a Customer service representative that I am entitled to the refund of the annual fee of {$39.00} as long as there were no charges mad to my account in which I have the statements to show that no charges were made. 
",,Synovus Bank,FL,327XX,,Consent provided,Web,04/16/2015,Closed with monetary relief,Yes,No,1326610
04/19/2015,Prepaid card,General purpose card,Unauthorized transactions/trans. issues,,"AMEX Prepaid card purchased by my company in XX/XX/XXXX and handed out to employees at a sales training event. Card has been in my possession since I received it. I did not attempt to the use card until XX/XX/XXXX. Merchant declined the card due to {$0.00} balance. Called AMEX and found out the card was used at a gas station in XXXX XX/XX/XXXX. I live in XXXX, XXXX and have never been to XXXX. AMEX tells me they can not do anything. They tried to give me the phone # of the merchant in XXXX which was unavailable. 
",,Amex,WA,980XX,,Consent provided,Web,04/21/2015,Closed with explanation,Yes,No,1336331
04/14/2015,Prepaid card,General purpose card,Fraud or scam,,"I have purchased {$3000.00} in reload packs from the company, XXXX, a subsidiary of XXXX Holdings. 
I have been only able to load {$1500.00} and this only after hundreds of attempts to use the online service. XXXX of attempts result in the same error message, 'We are experiencing technical difficulties '. 
I have made multiple calls to their customer service department and was told, after HOURS on hold, that a customer service supervisor would get back to me. That never happened. 
I need the money I have paid to use this companies service for a medical emergency. Please help. 
",,Blackhawk Network Holdings Inc.,TX,770XX,,Consent provided,Web,04/15/2015,Closed with explanation,No,No,1329876
04/28/2015,Prepaid card,General purpose card,Adding money,,"I deposited a check using their American Express Serve mobile app on XXXX XXXX, 2015 and it said that the check will clear in XXXX business days. When I logged into my account on the XXXX business day the money was not available, I called American Express Serve to let them know the money was not available and the transferred me to a XXXX party company called XXXX. XXXX told me that the check was approved and it was up to American Express Serve to make the funds available. I called back American Express Serve to tell them what XXXX said to me and I got the run around, rude and sarcastic answers from the rep. I do n't understand why my money is not available to me since the check was cleared. I am counting on that money to put gas in my car to go to work and buy groceries now I am without money today. 
",,Amex,PA,151XX,,Consent provided,Web,04/30/2015,Closed with monetary relief,Yes,No,1350092
05/04/2015,Prepaid card,General purpose card,Unauthorized transactions/trans. issues,,"On XXXX XXXX, 2015 I checked my American Express Serve Card balance and had approximately {$380.00} dollars available. This was to be used to pay a bill so on Monday, XXXX XXXX, 2015 I checked my balance again so that I could withdraw the money to pay my bill and my available balance was {$9.00}. I immediately called American Express Serve and explained to them that for some reason I only had {$9.00} available when I should have had {$380.00}. I saw that there were XXXX transactions for {$120.00}, {$120.00} and a pending charge for {$120.00}. They all were from XXXX. I requested a fraud dispute document. I explained on the document that I did not make the charges and did not authorize anyone else to make them on my behalf. 

However, a couple of days later I received am email from American Express Serve that they had done the following:1. Closed my account. 
2. Determined that the charges were valid. 

I again called American Express Serve and asked them how they came to that determination especially since I did not charge anything from XXXX, and did not authorize anyone to do so. Afterward I was told to read paragraph XXXX of the User Agreement. Upon doing so, it gave me no information regarding fraudulent transactions, or how I would get the money back that was taken from my account. 

Furthermore, the email that was sent to me said I Could request what information lead them to determine that there was no fraud. However, when I called Amex Serve they kept referring me to paragraph XXXX and no help regarding what they found or how I will get the money that was taken from my account. 
",,Amex,NY,115XX,,Consent provided,Web,05/06/2015,Closed with explanation,Yes,Yes,1358673
