Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
03/28/2015,Money transfers,International money transfer,Money was not available when promised,,"HiThis is regarding to a money transfer request done by me thru Remitly. 
The money did get transfer as promised and they are not ready to cancel the transaction and refund my money.Requesting to please help on this 
",,"Remitly, Inc.",GA,300XX,,Consent provided,Web,04/20/2015,Closed with explanation,Yes,No,1305950
03/28/2015,Money transfers,Domestic (US) money transfer,Fraud or scam,,"On XXXX XXXX, 2015, I was scammed by XXXX people in NY by way of XXXX XXXX. When I checked on the cards, I was able to recover {$450.00} out of the {$850.00}. I filed a police report and numerous consumer complaints including the Attorney General 's Office. When I realized I had been scammmed my banker and I called XXXX under ticket # XXXX XXXX, the company representative asked us to fax all of the documents to him. We did that. He then stated on speaker phone in front of my banker that I would receive a refund in 23 days for the scammed {$400.00}. The check never came. I called again today and the representative stated that I can not get a refund. XXXX Blackhawk Networklied to me. They will not stand by the word of their company representatives. I have my bank manager as a witness. 
",,Blackhawk Network Holdings Inc.,MI,481XX,,Consent provided,Web,04/10/2015,Closed with monetary relief,Yes,No,1306002
03/20/2015,Money transfers,Domestic (US) money transfer,Fraud or scam,,"I was scammed into sending money for a XXXX bonus winnings randomly selected and the number they use is XXXX XXXX XXXX XXXX XXXX, New York XXXX and the phone number is ( XXXX ) XXXX 
",,MoneyGram,MO,658XX,,Consent provided,Web,03/26/2015,Closed with explanation,Yes,Yes,1292962
03/25/2015,Money transfers,Domestic (US) money transfer,Fraud or scam,,"In XXXX XX/XX/2013, XXXX, a no-contract gym in XXXX, NM, used my XXXX year old son 's signature to forge an EFT authorization on my checking account, of which I am the sole owner/signatory. XXXX XXXX lifted the account/routing number from a paper check that I wrote to them to cover one month 's membership fees for my son. This check clearly listed only myself as the the account holder, not my son. My son was under the impression that he was signing up for a membership, nothing else, and simply signed his name, "" here, here, and here '', as directed by the gym 's employee, while no parent/legal guardian was present. He left with the understanding that he was good to use the gym for XXXX month only, since that was what my check covered, and only ended up using the gym for that XXXX month so as not to owe another month 's membership fee. 
Subsequent to that membership application, XXXX XXXX made XXXX unauthorized monthly EFTs on my checking account, without ever seeking proper authorization from me, or providing me a copy of the authorization they were using with my son 's signature. In XXXX XX/XX/XXXX, I discovered the unauthorized EFTs while stopping another authorized EFT for my son 's college fund, and informed XXXX XXXX to cease and desist the unauthorized transfers and return the stolen funds forthwith. They stopped the EFTs, but refused to refund the unauthorized transfers. 
I submitted a claim with my bank for restitution of the unauthorized EFTs, but my claim was denied because the gym 's bank, US Bank, will not return the transfers without the permission of XXXX, the forger of the EFT authorization. At no point during these fraudulent EFTs, did either my bank, XXXX XXXX XXXX XXXX, or the gym 's bank, US Bank, verify that the EFT authorization contained the name or signature matching the checking account holder, namely myself. I should also mention that my son has a different last name than I do, which should 've made the bogus EFT authorization painfully obvious. 
I am currently in the process of submitting a complaint with the NM Attorney General for XXXX, but am still confounded as to how this bogus EFT authorization flew by XXXX banks for nearly 2 years without question. 
I have since learned that shady businesses, such as no-contract gyms, PREFER or REQUIRE payment via checking account EFTs since they KNOW the banks wo n't verify authorization, probably because the EFT Act holds them blameless for EFT fraud. Although I realize the originator of the forged EFT authorization is responsible for this financial crime, it would not be possible without the blind eyes the financial institutions employ during these transactions. Shady businesses prefer ACH EFTs on checking accounts rather than credit card transactions because they know it 's very difficult for consumers to get the banks to restore funds transferred without proper authorization. There needs to be some changes to the EFT Act to levy penalties on banks that transfer money out of accounts without proper authorization, instead of only requiring the account/routing information of a viable account, and worrying about authorization after the fact, or when they get caught. 
",Company chooses not to provide a public response,U.S. Bancorp,NM,870XX,,Consent provided,Web,03/25/2015,Closed with explanation,Yes,No,1301028
03/22/2015,Money transfers,International money transfer,Other transaction issues,,"Dear Sir, i have been with chase bank for 10 years. lately i tried to wire some money to my father in XXXX. 
the transaction was made on the XXXX and it is wire transfer outgoing and it was made in person at Chase BankXXXX XXXX XXXX, TX XXXX. 
and the bank teller was able to determine my father 's account number, and she told me the money will be available on XXXX. 
on XXXX/XXXX/2015 i was contacted by phone someone called XXXX : XXXX he wants more information about me and my father and he said he ca n't send the money if i do not do so! 
when i long in my bank account online i see the money was transferred until the XX/XX/2015 i saw that the money was credited back without the {$45.00}. 
so i called for that reason and i got it back. 
i asked the teller what kind of information you need to make it happen so she said both bank accounts that 's all. 
i do n't know why i was mistreated like this? i asked all my friend none have any complains! 
please make sure to keep this big cooperate banks in line. 
thanks for reading. 
Kind Regards. 
",,JPMorgan Chase & Co.,TX,770XX,,Consent provided,Web,03/22/2015,Closed with explanation,Yes,No,1294891
04/06/2015,Money transfers,Domestic (US) money transfer,Other transaction issues,,"I recently opened an account with PayPal. I purchased XXXX PayPal "" MyCash '' cards ( PPMC ) for {$500.00} each and loaded them to my account in anticipation of making a few purchases on Ebay, the parent company PayPal. PPMCs are sold at various retail establishments, and in my case, I not only was required to show identification when I purchased them, but I also kept all receipts related to such purchase. Via a website that is, upon belief, authorized and/or maintained by PayPal, I loaded the PPMCs to my PayPal account. Because of limitations imposed by PayPal of {$500.00} of loads per day XXXX and {$4000.00} per month ), the XXXX PPMCs I purchases were loaded to my PayPal account over two consecutive days. 
Approximately one day after the second PPMC load ( which was within the guidelines and rules established by PayPal ), I received an email from PayPal that my account was limited due to what was described as "" high risk '' activity and that PayPal would be freezing my $ 1K in deposited funds for 180 days in order to make sure there were sufficient funds to cover any payment reversals. 
I telephoned PayPal and spoke to a representative in its "" Account Limitations Department, '' and was told essentially the same thing that was related in the email. Although I explained, and the representative conceded, that there were no payments made ( and thus there could not be a basis for any payment reversal ), I was told PayPal would not change its position. I also offered to provide copies of my PPMC receipts and other supporting documentation to establish that my purchase of the XXXX subject PPMCs was bona fide, but this offer was rejected. 
PayPal 's actions are unjust, unfair and punitive in nature. While I recognize the need to have certain loss prevention policies in place, I believe there is something fundamentally wrong with a system that cites this as a justification for detaining a customer 's money but does not provide a route for appeal or other process that would enable a customer such as myself to refute the implication raised through clear and convincing documentation. 
",Company believes it acted appropriately as authorized by contract or law,"PayPal Holdings, Inc.",PA,190XX,,Consent provided,Web,04/06/2015,Closed with non-monetary relief,Yes,No,1317329
04/06/2015,Money transfers,Domestic (US) money transfer,Other transaction issues,,"I have an account with the Paypal service, the service works by allowing me to transfer money into an online account then pay for things online that accept Paypal payments. I have had this account for many years, and the way it always worked I had to wait for the bank to transfer the money into the Paypal account, it took between three and five days to complete my transfer of money, and if I did n't have the money in my paypal account I could not purchase anything with the account. I was using this account to pay for my phone bill with XXXX XXXX, I allowed XXXX XXXX to acces my Paypal to pay my bill monthly, I decided in XXXX of last year to stop the subscription on my XXXX XXXX phone, I attempted on line to cancel then went to my paypal and as a measure of insurance to cancel my Virgin subscription I made sure ther were insufficient funds in my account with Paypal. When a request came to my Paypal account from XXXX XXXX Paypal instead of refusing the payment since I had insufficient funds decided to go into my checking account without my permission and pay XXXX, and they did on the day they requested payment, I called Paypal and requested a copy of my authorization for Paypal to remove funds from my checking account without my direct or even my indirect consent, XXXX XXXX XXXX agreed toreturn XXXX of the XXXX payments that were made before I caught what they were doing, Paypal XXXX that there is no problem since they did not profit. I do not agree with their assessment that there is no problem, for XXXX this is a huge problem that they would give a company access to my checking account without my approval. for any reason, and that they not only transferred the money without my approval, but they did it in XXXX day, something they would n't do for me, and that Paypal even paid them when if I had put in a request for payment above my Paypal balance would be refused. I am so angry about their complete lack of respect for me as an individual and the courtesy they extend another company, even if they have to steal my money to make XXXX happy. I still have XXXX charge of {$44.00} that XXXX wo n't refund, and I think that Paypal not only owes me for that XXXX payment but I think there should be some form of punishment to Paypal for such an obvious overreach. 
",Company believes it acted appropriately as authorized by contract or law,"PayPal Holdings, Inc.",WA,980XX,,Consent provided,Web,04/06/2015,Closed with monetary relief,Yes,No,1318082
04/11/2015,Money transfers,Domestic (US) money transfer,Fraud or scam,,"I was convinced to transfer money to someone in return for products but have not heard from this person since. I believe it was a scam. 
",,The Western Union Company,PA,187XX,,Consent provided,Web,04/11/2015,Closed with explanation,Yes,No,1326316
04/13/2015,Money transfers,Domestic (US) money transfer,Fraud or scam,,"I got scammed using PayPal. I made a request on XXXX for concert tickets. I was texted by someone who offered me 4 tickets for {$130.00}. I accepted and they gave me their email to wire the money to saying that they would send the tickets electronically to my email. They never sent the tickets but accepted the money I sent. They stopped answering my text messages too. 
",Company believes it acted appropriately as authorized by contract or law,"PayPal Holdings, Inc.",WA,981XX,,Consent provided,Web,04/13/2015,Closed with monetary relief,Yes,No,1327672
04/22/2015,Money transfers,International money transfer,Other service issues,,"When paying a XXXX invoice of XXXX, I wanted to determine if I would be charged in USD before I used my XXXX XXXX card, so as to avoid foreign transaction fees. Otherwise, I would use a different credit card that does not charge such fees. I called PayPal on XXXX/XXXX/15 at XXXX Eastern Daylight Time and was repeatedly assured during a 14-minute phone call I would be charged in USD. I transacted the payment at XXXX EDT on that date. I was charged in XXXX, and XXXX XXXX added a foreign transaction fee of {$84.00}. When I called PayPal back on XXXX/XXXX/15 at XXXX EDT, I spoke to supervisor XXXX, who informed me that the only action available is to ask the merchant to refund the money. After disputing the charge with XXXX XXXX ( to no avail because this disputed the charge with the merchant directly, which is not what I need ), I attempted to communicate with PayPal again about this issue. I spoke to another representative who told me he would open an investigation and listen to the phone call in question to confirm that the conversation in question did in fact include the assurance that I would be charged in USD. He told me I would hear back in a couple of days. I never heard back, and a week later called back, and another representative told me again that they would investigate the matter, and that they saw no evidence of such a request on my profile. Again, I never heard back. I called back again on XXXX/XXXX/15 at XXXX EDT, and spoke to another representative for 15 minutes who was rather difficult and rude and stalled my request to speak to a supervisor. After I insisted to speak to a supervisor, I was put on hold for 30 minutes before hanging up and calling back at XXXX EDT, asking to speak to a supervisor immediately. I spoke to supervisor XXXX, who told me she would send a request to an office to have a payment credited to my account to offset the fee of {$84.00}, and to call back to check on the status of the request. I called back the next day, XXXX/XXXX/15 at XXXX EDT, and the response was that I would have to deal with this through XXXX XXXX, since it was a fee charged by XXXX XXXX. Of course, XXXX XXXX is in no way responsible for this issue - PayPal is, because PayPal gave me wrong information that resulted in my being charged the foreign transaction fee. After nearly a month of being forestalled and disrespected by PayPal in this matter, I decided to file a complaint with the Consumer Financial Protection Bureau. 
",Company believes it acted appropriately as authorized by contract or law,"PayPal Holdings, Inc.",NY,115XX,,Consent provided,Web,04/22/2015,Closed with monetary relief,Yes,No,1341809
